Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,creep_life
1100,140,58.8,6,6.7,5.7,2.1,3.9,3.6,0,7.8,5.3,0.1,0,0,0,0,0,0,163
1100,140,62.99,6,8,4,2,3,0,0,7,7,0,0,0,0.01,0,0,0,117
1100,140,62.84,6,8,4,2,3,0,0,7,7,0.15,0,0,0.01,0,0,0,137
1100,140,62.59,6,8,4,2,3,0,0,7,7,0.4,0,0,0.01,0,0,0,152
1100,140,62.19,6,8,4,2,3,0,0,7,7,0.8,0,0,0.01,0,0,0,111
1150,100,61.698,5.6,9,6.5,0.6,3,0,1,6.5,6,0.1,0,0,0,0.002,0,0,188
1200,75,61.698,5.6,9,6.5,0.6,3,0,1,6.5,6,0.1,0,0,0,0.002,0,0,23
1288,4,61.698,5.6,9,6.5,0.6,3,0,1,6.5,6,0.1,0,0,0,0.002,0,0,49.3
1288,6,61.698,5.6,9,6.5,0.6,3,0,1,6.5,6,0.1,0,0,0,0.002,0,0,6.2
1200,80,63.8,5.2,6.5,7.8,2,0,0,1.1,7.9,5.7,0,0,0,0,0,0,0,10
1200,100,69.4,6,0,4,2,4,4,0.5,5,5,0.1,0,0,0,0,0,0,15
850,650,62.1,6.2,6.7,6.4,1.7,1.6,0,0.6,7.9,6.8,0,0,0,0,0,0,0,75
850,650,63.341,6.2,6.8,6.5,3,1.7,0,0.059,8,4.4,0,0,0,0,0,0,0,80
850,650,63.6,6.3,6.9,6.6,4.3,1.7,0,0.6,8,2,0,0,0,0,0,0,0,70
982,248,62.1,6.2,6.7,6.4,1.7,1.6,0,0.6,7.9,6.8,0,0,0,0,0,0,0,148
982,248,63.341,6.2,6.8,6.5,3,1.7,0,0.059,8,4.4,0,0,0,0,0,0,0,130
982,248,63.6,6.3,6.9,6.6,4.3,1.7,0,0.6,8,2,0,0,0,0,0,0,0,111
1040,145,62.1,6.2,6.7,6.4,1.7,1.6,0,0.6,7.9,6.8,0,0,0,0,0,0,0,350
1040,145,63.341,6.2,6.8,6.5,3,1.7,0,0.059,8,4.4,0,0,0,0,0,0,0,362
1040,145,63.6,6.3,6.9,6.6,4.3,1.7,0,0.6,8,2,0,0,0,0,0,0,0,448
1000,207,68.905,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0,110.4
1000,148,68.905,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0,790
925,310,68.905,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0,129.6
925,207,68.905,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0,1012
900,445,61.946,6,8,7,2,3,0,0,7,5,0,0,0,0.05,0,0,0.004,234.5
1100,100,61.946,6,8,7,2,3,0,0,7,5,0,0,0,0.05,0,0,0.004,395.7
1080,190,66.4,6,4,2,0.4,6.2,0,0,9,6,0,0,0,0,0,0,0,101
